# Data on a sample of quasars around redshift 0.5 - 0.6.
#
# Columns:
#   0       name of object
#   1       redshift
#   2-11    photometry from SDSS
#  12-17    photometry from 2MASS
#  18-25    photometry from WISE
#
#  0                   1     2     3      4     5      6     7      8     9      10    11     12    13     14    15    16     17     18    19     20    21     22    23    24    25
QSO                 rdshft   u    err_u   g    err_g   r    err_r   i    err_i   z    err_z   J    err_J   H    err_H   K    err_K   W1   err_W1  W2   err_W2  W3  err_W3  W4   err_W4
J083525.98+435211.2  0.568 18.459 0.015 17.602 0.005 17.550 0.006 17.329 0.006 17.340 0.014 16.429 0.126 15.975 0.195 15.141 0.123 13.529 0.026 12.366 0.024  9.950 0.054 7.882 0.201
J083643.57+072905.7  0.580 17.826 0.012 17.524 0.005 17.711 0.007 17.624 0.007 17.781 0.019 16.686 0.156 15.703 0.137 14.602 0.066 13.133 0.024 11.936 0.022  9.041 0.033 6.812 0.079
J085053.12+445122.5  0.542 17.973 0.012 17.537 0.005 17.412 0.006 17.223 0.006 17.325 0.013 16.241 0.114 15.979 0.197 14.917 0.116 13.295 0.023 12.209 0.023  9.745 0.041 7.908 0.187
J085357.88+463350.6  0.549 18.745 0.021 18.270 0.007 18.225 0.007 17.912 0.007 17.832 0.019 16.775 0.170 15.902 0.216 15.294 0.146 13.754 0.025 12.879 0.025 10.840 0.087 8.168 0.232
J090313.90+312015.4  0.518 18.827 0.022 18.284 0.018 17.985 0.021 17.642 0.016 17.521 0.024 16.421 0.110 15.559 0.111 14.752 0.103 12.949 0.024 11.761 0.022  8.901 0.028 6.605 0.070
J091938.64+360247.0  0.602 18.445 0.022 17.928 0.027 17.828 0.016 17.597 0.014 17.595 0.037 16.446 0.114 16.005 0.184 14.828 0.085 13.117 0.026 11.993 0.023  9.398 0.041 7.103 0.104
J101326.90+355806.8  0.548 17.834 0.020 17.246 0.014 17.100 0.015 16.855 0.021 16.829 0.024 15.691 0.066 15.035 0.075 14.520 0.100 13.340 0.025 12.332 0.024  9.600 0.042 7.262 0.122
J102839.11+450009.4  0.582 17.530 0.024 17.038 0.022 17.093 0.014 16.775 0.018 16.790 0.017 15.823 0.073 15.357 0.105 14.529 0.095 13.242 0.023 12.146 0.022  9.334 0.038 7.277 0.101
J112822.41+482309.9  0.543 18.622 0.016 17.878 0.006 17.582 0.006 17.248 0.006 17.167 0.011 16.068 0.120 15.394 0.137 14.446 0.090 12.953 0.023 11.911 0.021  9.235 0.031 6.908 0.076
J121911.16+042905.8  0.555 18.977 0.024 18.426 0.007 18.339 0.008 17.923 0.007 17.971 0.019 17.071 0.199 15.993 0.171 15.003 0.143 13.465 0.026 12.237 0.024  9.450 0.042 7.069 0.103
J130952.88+011950.7  0.547 17.976 0.013 17.558 0.005 17.523 0.006 17.277 0.006 17.233 0.014 15.925 0.091 15.341 0.113 14.608 0.102 13.332 0.024 12.187 0.022  9.428 0.037 6.977 0.090
J132756.16+111443.7  0.610 17.898 0.013 17.421 0.005 17.422 0.005 17.236 0.005 17.398 0.013 16.235 0.110 15.648 0.114 14.983 0.125 13.637 0.026 12.359 0.024  9.506 0.038 7.040 0.081
J140447.81+053708.2  0.603 18.420 0.019 17.864 0.028 17.723 0.020 17.450 0.015 17.555 0.021 16.520 0.145 15.735 0.130 14.535 0.106 12.940 0.023 11.675 0.021  8.904 0.028 6.821 0.070
J141428.30+185646.0  0.609 23.076 0.390 20.267 0.029 19.286 0.023 18.560 0.017 18.311 0.027 17.119 0.232 16.065 0.182 14.994 0.129 13.441 0.024 12.382 0.022  9.763 0.039 7.770 0.107
J142927.28+523849.5  0.594 18.041 0.013 17.573 0.005 17.502 0.006 17.203 0.006 17.308 0.014 16.266 0.096 15.591 0.123 14.849 0.093 12.948 0.023 11.718 0.021  9.134 0.025 7.147 0.068
J183239.12+794426.3  0.553 18.812 0.028 18.006 0.013 17.563 0.017 17.189 0.016 17.129 0.026 16.132 0.090 15.444 0.113 14.403 0.094 12.515 0.023 11.328 0.020  8.727 0.021 6.622 0.047
J204333.20-001104.2  0.545 18.750 0.019 18.241 0.007 17.943 0.007 17.667 0.007 17.712 0.019 16.838 0.151 15.798 0.148 15.242 0.147 13.566 0.025 12.524 0.025  9.867 0.063 7.638 0.174
